Comment Date,Comment
"Mar 21, 2021, 3:16:57 PM",Legend of fresh pond!!!
"Apr 5, 2021, 7:23:21 PM",You’re killing me!!
"Apr 5, 2021, 8:18:32 PM",Omg you’re MY motivation. But today my knees are saying NO!
"Apr 5, 2021, 8:21:59 PM",You’re amazing!! Keep it up! 
"Apr 7, 2021, 4:10:14 PM",Raising my white flag!! 🏳❤️
"Apr 7, 2021, 6:43:13 PM",Couldn’t get that .01 huh 
"Apr 7, 2021, 10:55:05 PM",Yes but big tendinitis flare up this week 🙄slowing down for a few days! 
"Apr 9, 2021, 10:04:39 PM",🥵🥵
"Apr 9, 2021, 10:05:10 PM",Done and done ✔️✔️
"Sep 28, 2021, 1:37:57 PM",Max - I just found your name on the roster for the Maine marathon - see you there!!!!
"Oct 4, 2021, 12:10:06 AM",Was so great running with you - you saved me! Let’s run in Camberville together soon! 
"Oct 29, 2021, 2:03:31 AM",Let’s go on a run soon!
