Following Athlete ID,Follow Status,Created At
66514780,Accepted,"Jan 1, 2021, 8:37:45 PM"
14224468,Accepted,"Jan 2, 2021, 1:23:59 AM"
41877635,Accepted,"Jan 23, 2021, 2:23:05 PM"
61058782,Accepted,"Mar 23, 2021, 12:22:22 AM"
82093548,Accepted,"Apr 3, 2021, 12:50:52 AM"
88369335,Accepted,"Jul 5, 2021, 7:47:24 PM"
49197956,Accepted,"Jul 12, 2021, 1:56:16 AM"
47169848,Accepted,"Jul 12, 2021, 4:21:04 PM"
28695480,Accepted,"Aug 18, 2021, 4:57:38 PM"
13411229,Accepted,"Aug 23, 2021, 12:37:06 AM"
25388709,Accepted,"Sep 19, 2021, 7:07:01 PM"
62771077,Accepted,"Sep 29, 2021, 2:17:26 PM"
5211286,Accepted,"Oct 20, 2021, 2:24:20 PM"
17816067,Accepted,"Nov 12, 2021, 12:51:18 AM"
