name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local
F45,0.0,3428,3428,0.0,Workout,Workout,,8709921199,2023-03-13T21:35:08Z,2023-03-13T17:35:08Z
Lunch Run,9751.7,3153,3447,17.0,Run,Run,,8708494444,2023-03-13T16:41:18Z,2023-03-13T12:41:18Z
Morning Run,9753.0,3333,3578,14.6,Run,Run,,8703199114,2023-03-12T14:33:40Z,2023-03-12T10:33:40Z
Morning Workout,0.0,3385,3385,0.0,Workout,Workout,,8702711692,2023-03-12T13:19:32Z,2023-03-12T09:19:32Z
Morning Workout,0.0,3604,3604,0.0,Workout,Workout,,8696382187,2023-03-11T13:08:48Z,2023-03-11T08:08:48Z
Morning Run,4830.6,1635,1677,16.2,Run,Run,,8695883441,2023-03-11T12:18:05Z,2023-03-11T07:18:05Z
Afternoon Run,8056.5,2775,3071,19.0,Run,Run,0.0,8692396470,2023-03-10T18:02:30Z,2023-03-10T13:02:30Z
Morning Workout,0.0,3229,3229,0.0,Workout,Workout,,8690832723,2023-03-10T12:09:03Z,2023-03-10T07:09:03Z
Evening Run,5196.3,1687,1691,4.5,Run,Run,,8688889163,2023-03-10T00:02:34Z,2023-03-09T19:02:34Z
Afternoon Run,4832.9,1618,1857,15.9,Run,Run,,8688120191,2023-03-09T20:52:46Z,2023-03-09T15:52:46Z
F45,0.0,3304,3304,0.0,Workout,Workout,,8685752982,2023-03-09T12:04:30Z,2023-03-09T07:04:30Z
F45,0.0,2429,2429,0.0,Workout,Workout,,8680767255,2023-03-08T13:07:08Z,2023-03-08T08:07:08Z
November Project ,0.0,2832,2832,0.0,Workout,Workout,,8680366782,2023-03-08T11:36:10Z,2023-03-08T06:36:10Z
To NP,1707.9,594,598,3.2,Run,Run,0.0,8680112917,2023-03-08T11:19:58Z,2023-03-08T06:19:58Z
Lunch Run,8044.4,2666,2933,19.5,Run,Run,,8676476836,2023-03-07T17:13:13Z,2023-03-07T12:13:13Z
F45,0.0,2964,2964,0.0,Workout,Workout,,8675240234,2023-03-07T13:07:36Z,2023-03-07T08:07:36Z
Afternoon Workout,0.0,2536,2536,0.0,Workout,Workout,,8672331965,2023-03-06T22:34:16Z,2023-03-06T17:34:16Z
Afternoon Run,6601.9,2201,2381,14.4,Run,Run,,8671076997,2023-03-06T18:01:08Z,2023-03-06T13:01:08Z
Morning Run,12877.7,4163,4314,27.1,Run,Run,,8665586365,2023-03-05T15:22:59Z,2023-03-05T10:22:59Z
F45,0.0,3392,3392,0.0,Workout,Workout,,8665075651,2023-03-05T14:22:21Z,2023-03-05T09:22:21Z
Morning Run,1654.9,599,605,2.2,Run,Run,0.0,8658659644,2023-03-04T14:48:56Z,2023-03-04T09:48:56Z
Morning Workout,0.0,3412,3412,0.0,Workout,Workout,,8658300723,2023-03-04T13:07:27Z,2023-03-04T08:07:27Z
Afternoon Run,12892.8,4186,4821,28.8,Run,Run,0.0,8654824975,2023-03-03T20:36:54Z,2023-03-03T15:36:54Z
Morning Workout,0.0,3091,3091,0.0,Workout,Workout,,8652725228,2023-03-03T13:08:42Z,2023-03-03T08:08:42Z
Evening Run,5184.5,1734,1767,4.5,Run,Run,,8650394698,2023-03-03T00:02:15Z,2023-03-02T19:02:15Z
Morning Workout,0.0,5864,5864,0.0,Workout,Workout,,8647322591,2023-03-02T12:11:10Z,2023-03-02T07:11:10Z
Bonus,6444.1,2162,2506,14.3,Run,Run,0.0,8642901578,2023-03-01T16:44:55Z,2023-03-01T11:44:55Z
F45,0.0,3096,3096,0.0,Workout,Workout,,8641851636,2023-03-01T13:08:18Z,2023-03-01T08:08:18Z
November project ,0.0,2794,2794,0.0,Workout,Workout,,8641372424,2023-03-01T11:36:53Z,2023-03-01T06:36:53Z
To NP,1658.5,558,572,3.2,Run,Run,0.0,8641080057,2023-03-01T11:18:15Z,2023-03-01T06:18:15Z
Evening Workout,0.0,2940,2940,0.0,Workout,Workout,,8639383573,2023-03-01T00:05:07Z,2023-02-28T19:05:07Z
Lunch Run,1610.3,542,547,2.7,Run,Run,0.0,8637152489,2023-02-28T17:11:00Z,2023-02-28T12:11:00Z
F45,0.0,2839,2839,0.0,Workout,Workout,,8636148072,2023-02-28T13:06:50Z,2023-02-28T08:06:50Z
Lunch Run,6448.7,2080,2215,13.8,Run,Run,,8632038559,2023-02-27T17:47:01Z,2023-02-27T12:47:01Z
F45,0.0,3210,3210,0.0,Workout,Workout,,8630791375,2023-02-27T13:06:02Z,2023-02-27T08:06:02Z
HB75,0.0,4626,4626,0.0,Ride,Ride,10.0,8627441871,2023-02-26T17:03:11Z,2023-02-26T12:03:11Z
F45,0.0,3030,3030,0.0,Workout,Workout,,8626256353,2023-02-26T14:23:13Z,2023-02-26T09:23:13Z
Morning Run,11692.8,4022,4606,20.6,Run,Run,,8625820066,2023-02-26T12:51:37Z,2023-02-26T07:51:37Z
Morning Workout,0.0,3192,3192,0.0,Workout,Workout,,8620290823,2023-02-25T14:22:57Z,2023-02-25T09:22:57Z
Morning Run,8054.3,2691,2865,20.5,Run,Run,0.0,8619870452,2023-02-25T13:21:58Z,2023-02-25T08:21:58Z
Afternoon Ride,0.0,2936,2936,0.0,Ride,Ride,,8616597192,2023-02-24T21:59:00Z,2023-02-24T16:59:00Z
Afternoon Run,1623.3,568,572,2.7,Run,Run,0.0,8616305509,2023-02-24T21:07:07Z,2023-02-24T16:07:07Z
Afternoon Workout,0.0,4609,4609,0.0,Workout,Workout,,8615899773,2023-02-24T18:00:03Z,2023-02-24T13:00:03Z
Morning Workout,0.0,2765,2765,0.0,Workout,Workout,,8614448732,2023-02-24T13:09:52Z,2023-02-24T08:09:52Z
Afternoon Run,4106.4,1489,1861,4.8,Run,Run,0.0,8611837396,2023-02-23T22:20:14Z,2023-02-23T17:20:14Z
Lunch Workout,0.0,3094,3094,0.0,Workout,Workout,,8610583351,2023-02-23T17:21:57Z,2023-02-23T12:21:57Z
F45,0.0,3094,3094,0.0,Workout,Workout,,8609359599,2023-02-23T13:13:06Z,2023-02-23T08:13:06Z
F45,0.0,2737,2737,0.0,Workout,Workout,,8603932823,2023-02-22T13:06:47Z,2023-02-22T08:06:47Z
November project,0.0,2933,2933,0.0,Workout,Workout,,8603489977,2023-02-22T11:35:21Z,2023-02-22T06:35:21Z
To NP,1711.5,589,603,3.5,Run,Run,0.0,8603237406,2023-02-22T11:19:58Z,2023-02-22T06:19:58Z
Run study @ Puma,6832.8,2266,4451,0.0,Run,Run,0.0,8601394745,2023-02-21T22:31:56Z,2023-02-21T17:31:56Z
Lunch Run,1621.7,543,555,2.7,Run,Run,,8599708220,2023-02-21T17:49:52Z,2023-02-21T12:49:52Z
F45,0.0,3024,3024,0.0,Workout,Workout,,8598287795,2023-02-21T13:08:32Z,2023-02-21T08:08:32Z
Lunch Run,4898.0,1570,1600,10.2,Run,Run,,8593683647,2023-02-20T17:00:31Z,2023-02-20T12:00:31Z
F45,0.0,2962,2962,0.0,Workout,Workout,,8592858477,2023-02-20T13:05:21Z,2023-02-20T08:05:21Z
Lunch Run,8056.1,2516,2775,17.1,Run,Run,,8589066208,2023-02-19T17:09:10Z,2023-02-19T12:09:10Z
F45,0.0,3295,3295,0.0,Workout,Workout,,8587988277,2023-02-19T14:21:40Z,2023-02-19T09:21:40Z
Lunch Run,11275.4,3707,4023,20.4,Run,Run,,8582824649,2023-02-18T16:21:10Z,2023-02-18T11:21:10Z
F45,0.0,3390,3390,0.0,Workout,Workout,,8581976662,2023-02-18T14:27:42Z,2023-02-18T09:27:42Z
HB💛,0.0,2632,2632,0.0,Ride,Ride,10.0,8578208894,2023-02-17T22:00:42Z,2023-02-17T17:00:42Z
Afternoon Run,6589.4,2094,2301,14.4,Run,Run,,8577390108,2023-02-17T18:05:08Z,2023-02-17T13:05:08Z
Morning Workout,0.0,2915,2915,0.0,Workout,Workout,,8576075795,2023-02-17T13:06:09Z,2023-02-17T08:06:09Z
Notch 5K,5212.9,1603,1634,4.9,Run,Run,0.0,8573850382,2023-02-17T00:03:24Z,2023-02-16T19:03:24Z
Lunch Workout,0.0,2780,2780,0.0,Workout,Workout,,8572316226,2023-02-16T17:22:17Z,2023-02-16T12:22:17Z
F45,0.0,2774,2774,0.0,Workout,Workout,,8570960137,2023-02-16T13:11:28Z,2023-02-16T08:11:28Z
F45,0.0,3176,3176,0.0,Workout,Workout,,8565337891,2023-02-15T13:08:54Z,2023-02-15T08:08:54Z
November Project,0.0,2886,2886,0.0,Workout,Workout,,8564823600,2023-02-15T11:35:36Z,2023-02-15T06:35:36Z
To NP,1622.4,575,629,3.3,Run,Run,0.0,8564531535,2023-02-15T11:17:34Z,2023-02-15T06:17:34Z
Afternoon Run,9787.6,3188,3463,14.8,Run,Run,,8562412712,2023-02-14T21:24:38Z,2023-02-14T16:24:38Z
Lunch Workout,0.0,4556,4556,0.0,Workout,Workout,,8560848780,2023-02-14T16:16:09Z,2023-02-14T11:16:09Z
Morning Workout,0.0,3111,3111,0.0,Workout,Workout,,8559727917,2023-02-14T13:08:27Z,2023-02-14T08:08:27Z
Lunch Run,5219.6,1737,1836,13.1,Run,Run,,8555551151,2023-02-13T17:53:17Z,2023-02-13T12:53:17Z
F45,0.0,2812,2812,0.0,Workout,Workout,,8554071846,2023-02-13T13:05:54Z,2023-02-13T08:05:54Z
Lunch Run,8243.6,2585,2985,30.4,Run,Run,,8550686425,2023-02-12T17:18:10Z,2023-02-12T12:18:10Z
Morning Run,6541.9,2151,2385,14.6,Run,Run,,8543679414,2023-02-11T15:29:46Z,2023-02-11T10:29:46Z
F45,0.0,4092,4092,0.0,Workout,Workout,,8543018965,2023-02-11T13:07:57Z,2023-02-11T08:07:57Z
Lunch Run,8073.1,2582,3170,17.2,Run,Run,0.0,8538523468,2023-02-10T17:25:09Z,2023-02-10T12:25:09Z
F45,0.0,3148,3148,0.0,Workout,Workout,,8537287097,2023-02-10T13:08:02Z,2023-02-10T08:08:02Z
Notch 5K,5273.7,1726,1729,4.8,Run,Run,0.0,8535113408,2023-02-10T00:08:00Z,2023-02-09T19:08:00Z
Lunch Workout,0.0,2414,2414,0.0,Workout,Workout,,8533211460,2023-02-09T17:22:26Z,2023-02-09T12:22:26Z
F45,0.0,3004,3004,0.0,Workout,Workout,,8531989645,2023-02-09T13:06:16Z,2023-02-09T08:06:16Z
